city,city_tier,platform_type,month_of_year,shield_score,daily_earnings,weekly_earnings,renewal_count,historical_payout_count,claim_frequency,flood_risk_score,aqi_risk_score,heat_risk_score,rainfall_risk_score,traffic_disruption_risk,social_disruption_risk,historical_disruption_freq,is_monsoon,is_heat_season,is_holiday_period,weekly_premium
Pune,Tier 2,Domestic Worker,3,46,867.0,5202.0,23,7,0.304,0.269,0.594,0.547,0.312,0.368,0.124,0.294,0,0,0,71
Ahmedabad,Tier 2,Gig Driver,7,61,1129.0,6774.0,6,1,0.167,0.456,0.587,0.481,0.472,0.309,0.373,0.31,1,0,0,110
Chennai,Tier 1,Construction Worker,7,86,1190.0,7140.0,11,6,0.545,0.238,0.549,0.345,0.311,0.521,0.335,0.191,1,0,0,105
Indore,Tier 3,Gig Driver,12,52,445.0,2670.0,1,1,1.0,0.616,0.653,0.65,0.654,0.378,0.308,0.333,0,0,1,65
Delhi,Tier 1,Gig Driver,12,66,760.0,4560.0,10,1,0.1,0.232,0.639,0.402,0.232,0.436,0.247,0.157,0,0,1,87
Ahmedabad,Tier 2,Grocery Rider,4,75,816.0,4896.0,17,7,0.412,0.443,0.48,0.513,0.454,0.38,0.351,0.171,0,1,0,87
Hyderabad,Tier 1,Gig Driver,3,79,963.0,5778.0,8,7,0.875,0.253,0.434,0.254,0.263,0.395,0.157,0.181,0,0,0,71
Ahmedabad,Tier 2,Delivery Partner,8,68,811.0,4866.0,17,1,0.059,0.446,0.449,0.456,0.488,0.575,0.059,0.328,1,0,0,95
Delhi,Tier 1,Construction Worker,9,51,767.0,4602.0,0,1,1.0,0.445,0.523,0.332,0.464,0.22,0.03,0.089,1,0,0,100
Ahmedabad,Tier 2,Grocery Rider,7,76,546.0,3276.0,15,7,0.467,0.336,0.574,0.418,0.369,0.186,0.077,0.062,1,0,0,67
Pune,Tier 2,Gig Driver,1,65,542.0,3252.0,5,6,1.2,0.272,0.38,0.415,0.265,0.282,0.201,0.257,0,0,1,49
Mumbai,Tier 1,Gig Driver,5,63,1099.0,6594.0,14,4,0.286,0.43,0.415,0.319,0.468,0.474,0.074,0.113,0,1,0,101
Indore,Tier 3,Construction Worker,12,68,895.0,5370.0,17,7,0.412,0.492,0.566,0.587,0.446,0.226,0.285,0.319,0,0,1,55
Hyderabad,Tier 1,Grocery Rider,5,100,486.0,2916.0,6,0,0.0,0.312,0.533,0.311,0.308,0.289,0.008,0.147,0,1,0,73
Gorakhpur,Tier 4,Construction Worker,9,64,496.0,2976.0,1,5,5.0,0.673,0.348,0.62,0.685,0.349,0.035,0.211,1,0,0,54
Delhi,Tier 1,Delivery Partner,10,90,745.0,4470.0,15,8,0.533,0.232,0.471,0.341,0.273,0.385,0.142,0.346,0,0,1,66
Agra,Tier 3,Grocery Rider,1,55,481.0,2886.0,16,1,0.062,0.438,0.511,0.44,0.413,0.243,0.069,0.319,0,0,1,49
Kolkata,Tier 1,Delivery Partner,10,72,728.0,4368.0,2,3,1.5,0.446,0.428,0.349,0.498,0.533,0.327,0.127,0,0,1,87
Patna,Tier 3,Delivery Partner,10,78,1144.0,6864.0,7,0,0.0,0.539,0.593,0.47,0.562,0.194,0.129,0.178,0,0,1,57
Bareilly,Tier 4,Delivery Partner,7,52,492.0,2952.0,21,8,0.381,0.603,0.272,0.595,0.558,0.341,0.213,0.066,1,0,0,55
Surat,Tier 2,Last-Mile Logistics,4,61,451.0,2706.0,21,5,0.238,0.497,0.431,0.502,0.473,0.441,0.304,0.229,0,1,0,80
Ahmedabad,Tier 2,Last-Mile Logistics,7,42,679.0,4074.0,4,4,1.0,0.482,0.558,0.541,0.446,0.465,0.375,0.104,1,0,0,104
Coimbatore,Tier 3,Last-Mile Logistics,2,73,860.0,5160.0,0,7,7.0,0.61,0.485,0.599,0.569,0.182,0.066,0.294,0,0,0,59
Bareilly,Tier 4,Domestic Worker,2,75,687.0,4122.0,2,8,4.0,0.669,0.298,0.654,0.646,0.288,0.185,0.14,0,0,0,55
Pune,Tier 2,Domestic Worker,5,72,586.0,3516.0,4,5,1.25,0.475,0.446,0.436,0.518,0.412,0.047,0.332,0,1,0,81
Bangalore,Tier 1,Grocery Rider,6,54,511.0,3066.0,9,2,0.222,0.399,0.555,0.383,0.448,0.494,0.061,0.144,1,1,0,109
Coimbatore,Tier 3,Domestic Worker,12,81,427.0,2562.0,9,8,0.889,0.542,0.641,0.619,0.522,0.511,0.044,0.304,0,0,1,56
Mumbai,Tier 1,Construction Worker,9,68,1038.0,6228.0,9,1,0.111,0.237,0.457,0.431,0.285,0.421,0.278,0.213,1,0,0,101
Hyderabad,Tier 1,Last-Mile Logistics,2,62,545.0,3270.0,3,8,2.667,0.427,0.546,0.35,0.431,0.574,0.061,0.226,0,0,0,82
Hyderabad,Tier 1,Last-Mile Logistics,5,100,414.0,2484.0,19,3,0.158,0.418,0.633,0.391,0.446,0.561,0.283,0.096,0,1,0,97
Surat,Tier 2,Grocery Rider,11,94,739.0,4434.0,20,4,0.2,0.434,0.584,0.531,0.436,0.157,0.394,0.302,0,0,1,73
Agra,Tier 3,Gig Driver,5,72,873.0,5238.0,1,1,1.0,0.5,0.464,0.484,0.53,0.102,0.133,0.169,0,1,0,62
Indore,Tier 3,Last-Mile Logistics,1,81,677.0,4062.0,0,5,5.0,0.487,0.634,0.513,0.461,0.326,0.056,0.103,0,0,1,55
Hyderabad,Tier 1,Construction Worker,5,39,1132.0,6792.0,5,7,1.4,0.291,0.545,0.408,0.263,0.432,0.071,0.338,0,1,0,104
Muzaffarpur,Tier 4,Construction Worker,7,68,468.0,2808.0,17,0,0.0,0.699,0.326,0.599,0.636,0.475,0.084,0.319,1,0,0,56
Chennai,Tier 1,Delivery Partner,12,65,429.0,2574.0,4,8,2.0,0.318,0.541,0.266,0.364,0.327,0.21,0.182,0,0,1,67
Delhi,Tier 1,Last-Mile Logistics,10,86,524.0,3144.0,17,2,0.118,0.245,0.615,0.487,0.258,0.235,0.258,0.173,0,0,1,65
Indore,Tier 3,Grocery Rider,1,83,422.0,2532.0,9,5,0.556,0.455,0.508,0.568,0.411,0.152,0.32,0.104,0,0,1,52
Delhi,Tier 1,Last-Mile Logistics,4,57,480.0,2880.0,21,3,0.143,0.261,0.581,0.464,0.318,0.299,0.267,0.111,0,1,0,92
Chennai,Tier 1,Last-Mile Logistics,9,79,410.0,2460.0,13,2,0.154,0.221,0.452,0.257,0.217,0.392,0.169,0.318,1,0,0,70
Ahmedabad,Tier 2,Grocery Rider,3,65,608.0,3648.0,13,0,0.0,0.345,0.498,0.367,0.373,0.305,0.221,0.181,0,0,0,63
Kolkata,Tier 1,Construction Worker,6,74,1011.0,6066.0,13,3,0.231,0.235,0.617,0.372,0.301,0.5,0.17,0.057,1,1,0,111
Jaipur,Tier 2,Grocery Rider,12,75,907.0,5442.0,3,6,2.0,0.314,0.385,0.509,0.381,0.363,0.069,0.132,0,0,1,58
Delhi,Tier 1,Gig Driver,4,74,619.0,3714.0,6,7,1.167,0.339,0.563,0.457,0.326,0.105,0.055,0.32,0,1,0,81
Nagpur,Tier 2,Last-Mile Logistics,4,75,880.0,5280.0,7,0,0.0,0.416,0.394,0.529,0.416,0.292,0.208,0.064,0,1,0,83
Pune,Tier 2,Gig Driver,6,78,466.0,2796.0,8,1,0.125,0.401,0.411,0.397,0.39,0.278,0.288,0.139,1,1,0,68
Jaipur,Tier 2,Last-Mile Logistics,11,60,931.0,5586.0,16,6,0.375,0.484,0.533,0.354,0.439,0.231,0.238,0.065,0,0,1,81
Muzaffarpur,Tier 4,Last-Mile Logistics,1,100,667.0,4002.0,3,4,1.333,0.643,0.227,0.469,0.652,0.348,0.275,0.18,0,0,1,49
Kolkata,Tier 1,Domestic Worker,5,80,1040.0,6240.0,1,1,1.0,0.374,0.468,0.398,0.373,0.146,0.367,0.091,0,1,0,92
Bareilly,Tier 4,Gig Driver,6,71,548.0,3288.0,23,5,0.217,0.585,0.418,0.633,0.607,0.429,0.277,0.305,1,1,0,64
Indore,Tier 3,Domestic Worker,9,71,577.0,3462.0,3,6,2.0,0.647,0.686,0.41,0.653,0.563,0.072,0.22,1,0,0,76
Gorakhpur,Tier 4,Grocery Rider,5,59,1140.0,6840.0,1,6,6.0,0.693,0.436,0.569,0.71,0.522,0.128,0.299,0,1,0,75
Mumbai,Tier 1,Domestic Worker,9,73,584.0,3504.0,21,3,0.143,0.23,0.419,0.424,0.241,0.462,0.026,0.145,1,0,0,82
Nagpur,Tier 2,Gig Driver,2,89,655.0,3930.0,21,5,0.238,0.406,0.571,0.454,0.389,0.112,0.348,0.056,0,0,0,62
Bareilly,Tier 4,Last-Mile Logistics,11,72,1151.0,6906.0,3,4,1.333,0.65,0.449,0.538,0.662,0.301,0.192,0.238,0,0,1,59
Agra,Tier 3,Last-Mile Logistics,11,66,737.0,4422.0,13,5,0.385,0.584,0.51,0.428,0.561,0.244,0.119,0.12,0,0,1,60
Patna,Tier 3,Construction Worker,5,71,707.0,4242.0,17,2,0.118,0.57,0.505,0.637,0.592,0.145,0.167,0.314,0,1,0,67
Pune,Tier 2,Gig Driver,11,71,891.0,5346.0,12,2,0.167,0.292,0.598,0.358,0.357,0.425,0.243,0.204,0,0,1,72
Bareilly,Tier 4,Domestic Worker,5,64,576.0,3456.0,12,8,0.667,0.497,0.395,0.538,0.453,0.585,0.354,0.328,0,1,0,54
Mumbai,Tier 1,Last-Mile Logistics,5,89,957.0,5742.0,6,6,1.0,0.238,0.604,0.306,0.237,0.368,0.237,0.224,0,1,0,85
Gorakhpur,Tier 4,Domestic Worker,11,64,1111.0,6666.0,10,7,0.7,0.689,0.416,0.652,0.686,0.375,0.035,0.173,0,0,1,57
Coimbatore,Tier 3,Gig Driver,11,55,979.0,5874.0,6,8,1.333,0.524,0.47,0.455,0.54,0.138,0.34,0.199,0,0,1,56
Bhopal,Tier 3,Construction Worker,3,100,1060.0,6360.0,21,1,0.048,0.487,0.62,0.541,0.465,0.539,0.319,0.248,0,0,0,65
Lucknow,Tier 2,Domestic Worker,11,81,958.0,5748.0,20,5,0.25,0.42,0.505,0.488,0.394,0.54,0.349,0.059,0,0,1,82
Bangalore,Tier 1,Grocery Rider,11,69,668.0,4008.0,9,3,0.333,0.386,0.44,0.454,0.431,0.354,0.003,0.136,0,0,1,77
Pune,Tier 2,Grocery Rider,1,74,905.0,5430.0,1,3,3.0,0.315,0.509,0.435,0.361,0.153,0.304,0.212,0,0,1,64
Bhopal,Tier 3,Domestic Worker,2,70,906.0,5436.0,14,6,0.429,0.633,0.476,0.634,0.638,0.134,0.12,0.262,0,0,0,63
Gorakhpur,Tier 4,Grocery Rider,12,73,677.0,4062.0,22,6,0.273,0.605,0.211,0.668,0.642,0.584,0.3,0.089,0,0,1,49
Bhopal,Tier 3,Gig Driver,4,90,947.0,5682.0,4,0,0.0,0.511,0.518,0.649,0.503,0.326,0.065,0.288,0,1,0,66
Chennai,Tier 1,Gig Driver,4,59,466.0,2796.0,5,8,1.6,0.37,0.564,0.318,0.428,0.176,0.173,0.333,0,1,0,85
Coimbatore,Tier 3,Delivery Partner,9,94,718.0,4308.0,7,1,0.143,0.469,0.696,0.502,0.512,0.215,0.085,0.059,1,0,0,63
Coimbatore,Tier 3,Grocery Rider,8,56,1091.0,6546.0,21,8,0.381,0.518,0.692,0.446,0.553,0.488,0.308,0.303,1,0,0,97
Muzaffarpur,Tier 4,Domestic Worker,6,79,505.0,3030.0,24,7,0.292,0.458,0.43,0.604,0.492,0.341,0.047,0.088,1,1,0,54
Bareilly,Tier 4,Construction Worker,9,63,560.0,3360.0,13,8,0.615,0.573,0.216,0.595,0.543,0.499,0.124,0.187,1,0,0,59
Coimbatore,Tier 3,Grocery Rider,12,66,880.0,5280.0,15,7,0.467,0.473,0.624,0.615,0.504,0.12,0.192,0.081,0,0,1,53
Jaipur,Tier 2,Grocery Rider,11,71,895.0,5370.0,8,8,1.0,0.426,0.49,0.302,0.416,0.359,0.035,0.155,0,0,1,62
Bhopal,Tier 3,Construction Worker,4,59,854.0,5124.0,8,7,0.875,0.572,0.65,0.45,0.532,0.152,0.255,0.262,0,1,0,71
Bangalore,Tier 1,Construction Worker,5,72,967.0,5802.0,7,4,0.571,0.418,0.579,0.45,0.41,0.507,0.032,0.318,0,1,0,112
Surat,Tier 2,Last-Mile Logistics,9,87,762.0,4572.0,2,2,1.0,0.411,0.482,0.483,0.378,0.13,0.099,0.098,1,0,0,73
Hyderabad,Tier 1,Grocery Rider,7,68,1181.0,7086.0,22,2,0.091,0.284,0.446,0.447,0.321,0.349,0.222,0.266,1,0,0,108
Pune,Tier 2,Delivery Partner,7,72,560.0,3360.0,13,5,0.385,0.42,0.368,0.308,0.404,0.331,0.347,0.268,1,0,0,74
Muzaffarpur,Tier 4,Gig Driver,7,66,677.0,4062.0,1,3,3.0,0.543,0.447,0.46,0.575,0.389,0.175,0.268,1,0,0,62
Indore,Tier 3,Gig Driver,10,84,1121.0,6726.0,22,0,0.0,0.505,0.519,0.548,0.546,0.205,0.249,0.239,0,0,1,60
Gorakhpur,Tier 4,Gig Driver,8,64,973.0,5838.0,0,5,5.0,0.677,0.245,0.509,0.706,0.19,0.342,0.198,1,0,0,61
Lucknow,Tier 2,Gig Driver,7,78,756.0,4536.0,17,8,0.471,0.379,0.44,0.448,0.357,0.296,0.388,0.127,1,0,0,80
Bareilly,Tier 4,Grocery Rider,8,56,1019.0,6114.0,7,4,0.571,0.483,0.442,0.563,0.458,0.137,0.068,0.206,1,0,0,61
Indore,Tier 3,Gig Driver,1,83,745.0,4470.0,12,5,0.417,0.462,0.604,0.577,0.433,0.184,0.015,0.271,0,0,1,51
Patna,Tier 3,Construction Worker,3,68,1075.0,6450.0,14,2,0.143,0.601,0.596,0.617,0.561,0.156,0.108,0.067,0,0,0,74
Bareilly,Tier 4,Domestic Worker,1,80,431.0,2586.0,12,0,0.0,0.481,0.313,0.683,0.465,0.354,0.017,0.095,0,0,1,49
Bangalore,Tier 1,Construction Worker,7,82,764.0,4584.0,4,7,1.75,0.329,0.522,0.417,0.31,0.115,0.123,0.261,1,0,0,89
Kolkata,Tier 1,Delivery Partner,5,79,1176.0,7056.0,12,5,0.417,0.223,0.568,0.361,0.288,0.189,0.277,0.301,0,1,0,85
Pune,Tier 2,Gig Driver,6,73,798.0,4788.0,10,6,0.6,0.404,0.567,0.443,0.367,0.565,0.276,0.253,1,1,0,101
Jaipur,Tier 2,Gig Driver,5,79,715.0,4290.0,2,7,3.5,0.413,0.377,0.464,0.472,0.124,0.391,0.172,0,1,0,65
Mumbai,Tier 1,Construction Worker,9,75,854.0,5124.0,1,5,5.0,0.385,0.62,0.351,0.379,0.434,0.323,0.279,1,0,0,121
Ahmedabad,Tier 2,Construction Worker,2,68,1054.0,6324.0,24,0,0.0,0.28,0.486,0.301,0.284,0.283,0.158,0.259,0,0,0,64
Mumbai,Tier 1,Grocery Rider,4,60,590.0,3540.0,0,2,2.0,0.293,0.457,0.268,0.324,0.434,0.248,0.189,0,1,0,74
Ahmedabad,Tier 2,Grocery Rider,8,83,815.0,4890.0,21,1,0.048,0.37,0.356,0.385,0.371,0.299,0.232,0.21,1,0,0,71
Gorakhpur,Tier 4,Grocery Rider,8,88,1050.0,6300.0,22,4,0.182,0.63,0.439,0.455,0.587,0.104,0.259,0.319,1,0,0,58
Nagpur,Tier 2,Grocery Rider,10,73,448.0,2688.0,19,1,0.053,0.484,0.438,0.325,0.484,0.228,0.114,0.142,0,0,1,57
Kolkata,Tier 1,Last-Mile Logistics,2,74,649.0,3894.0,18,0,0.0,0.353,0.579,0.318,0.359,0.161,0.072,0.254,0,0,0,76
Lucknow,Tier 2,Domestic Worker,11,73,967.0,5802.0,12,6,0.5,0.277,0.492,0.364,0.346,0.342,0.322,0.215,0,0,1,61
Pune,Tier 2,Delivery Partner,10,73,1161.0,6966.0,22,3,0.136,0.4,0.555,0.521,0.383,0.206,0.244,0.173,0,0,1,78
Chennai,Tier 1,Construction Worker,5,57,1024.0,6144.0,21,1,0.048,0.269,0.606,0.356,0.309,0.148,0.25,0.186,0,1,0,92
Gorakhpur,Tier 4,Delivery Partner,6,57,989.0,5934.0,17,6,0.353,0.666,0.254,0.474,0.602,0.421,0.243,0.214,1,1,0,65
Nagpur,Tier 2,Delivery Partner,9,65,876.0,5256.0,20,5,0.25,0.374,0.597,0.334,0.406,0.302,0.171,0.265,1,0,0,82
Mumbai,Tier 1,Gig Driver,8,78,619.0,3714.0,3,6,2.0,0.22,0.421,0.474,0.217,0.262,0.091,0.156,1,0,0,82
Nagpur,Tier 2,Construction Worker,8,72,454.0,2724.0,22,2,0.091,0.45,0.408,0.435,0.493,0.425,0.213,0.147,1,0,0,77
Indore,Tier 3,Grocery Rider,12,86,1195.0,7170.0,16,4,0.25,0.565,0.589,0.583,0.555,0.13,0.225,0.337,0,0,1,58
Bareilly,Tier 4,Domestic Worker,8,78,561.0,3366.0,14,6,0.429,0.584,0.224,0.563,0.601,0.274,0.266,0.289,1,0,0,49
Gorakhpur,Tier 4,Last-Mile Logistics,6,58,1194.0,7164.0,7,1,0.143,0.682,0.335,0.661,0.666,0.412,0.036,0.277,1,1,0,72
Jaipur,Tier 2,Gig Driver,4,73,1026.0,6156.0,24,7,0.292,0.427,0.359,0.376,0.411,0.28,0.035,0.331,0,1,0,71
Gorakhpur,Tier 4,Domestic Worker,11,49,718.0,4308.0,12,5,0.417,0.562,0.35,0.579,0.598,0.348,0.397,0.305,0,0,1,51
Mumbai,Tier 1,Gig Driver,6,72,704.0,4224.0,5,7,1.4,0.419,0.617,0.451,0.456,0.252,0.032,0.171,1,1,0,108
Pune,Tier 2,Last-Mile Logistics,5,78,677.0,4062.0,10,4,0.4,0.494,0.51,0.506,0.458,0.531,0.369,0.196,0,1,0,88
Bareilly,Tier 4,Construction Worker,5,88,540.0,3240.0,17,0,0.0,0.576,0.3,0.487,0.555,0.134,0.01,0.091,0,1,0,49
Agra,Tier 3,Grocery Rider,2,72,1173.0,7038.0,7,6,0.857,0.508,0.528,0.527,0.501,0.153,0.256,0.115,0,0,0,64
Bhopal,Tier 3,Domestic Worker,4,90,522.0,3132.0,22,7,0.318,0.415,0.645,0.515,0.379,0.597,0.023,0.259,0,1,0,64
Bhopal,Tier 3,Gig Driver,1,64,954.0,5724.0,2,4,2.0,0.416,0.577,0.649,0.456,0.408,0.123,0.237,0,0,1,62
Ahmedabad,Tier 2,Gig Driver,12,41,505.0,3030.0,7,4,0.571,0.472,0.462,0.349,0.462,0.307,0.331,0.27,0,0,1,68
Gorakhpur,Tier 4,Last-Mile Logistics,8,65,415.0,2490.0,17,8,0.471,0.515,0.39,0.484,0.517,0.208,0.005,0.122,1,0,0,49
Nagpur,Tier 2,Gig Driver,12,71,488.0,2928.0,17,5,0.294,0.387,0.464,0.511,0.358,0.344,0.06,0.147,0,0,1,63
Nagpur,Tier 2,Construction Worker,8,69,701.0,4206.0,8,4,0.5,0.349,0.465,0.496,0.403,0.578,0.315,0.145,1,0,0,97
Jaipur,Tier 2,Grocery Rider,2,64,604.0,3624.0,23,3,0.13,0.46,0.36,0.525,0.46,0.419,0.264,0.319,0,0,0,74
Surat,Tier 2,Delivery Partner,12,87,453.0,2718.0,17,2,0.118,0.38,0.388,0.484,0.393,0.44,0.017,0.075,0,0,1,58
Pune,Tier 2,Grocery Rider,12,67,457.0,2742.0,15,4,0.267,0.253,0.589,0.484,0.263,0.248,0.14,0.282,0,0,1,58
Gorakhpur,Tier 4,Domestic Worker,10,59,539.0,3234.0,9,1,0.111,0.475,0.365,0.641,0.454,0.11,0.033,0.34,0,0,1,49
Pune,Tier 2,Last-Mile Logistics,4,83,900.0,5400.0,11,2,0.182,0.345,0.401,0.33,0.372,0.487,0.258,0.209,0,1,0,70
Lucknow,Tier 2,Delivery Partner,12,64,1184.0,7104.0,17,2,0.118,0.4,0.496,0.487,0.441,0.428,0.051,0.151,0,0,1,81
Jaipur,Tier 2,Delivery Partner,1,59,752.0,4512.0,17,4,0.235,0.403,0.586,0.36,0.375,0.199,0.355,0.244,0,0,1,64
Hyderabad,Tier 1,Construction Worker,8,82,1089.0,6534.0,3,0,0.0,0.412,0.63,0.313,0.446,0.33,0.337,0.269,1,0,0,118
