claim_type,month_of_year,dcs_at_claim,gps_zone_mismatch,gps_jump_detected,gps_accuracy_low,vpn_detected,weather_claim_consistency,historical_dcs_deviation,claim_timing_anomaly,payout_frequency_score,duplicate_event_attempt,platform_inactivity_hours,unusual_claim_amount,gps_risk_score,weather_risk_score,behavioral_risk_score,fraud_score,risk_band,decision
clean,4,80,0,0,0,0,0.838,0.105,0,0.599,0,0.75,0,0,3,0,3,low,pass
clean,10,63,0,0,1,0,0.855,0.094,0,0.854,0,0.42,0,5,3,0,8,low,pass
clean,9,87,0,0,0,0,0.918,0.054,0,1.049,0,0.02,0,0,2,0,2,low,pass
suspicious,11,63,1,0,1,1,0.263,0.521,1,1.789,0,3.11,1,28,30,4,62,high,fail
suspicious,5,69,1,0,0,1,0.51,0.414,0,2.326,0,4.04,1,23,15,12,50,medium,review
clean,5,81,0,0,0,0,0.736,0.134,0,0.89,0,0.04,0,0,5,0,5,low,pass
clean,8,77,0,0,1,0,0.808,0.02,0,0.565,0,0.37,0,5,4,0,9,low,pass
clean,7,68,0,0,0,0,0.945,0.116,0,1.16,0,0.52,0,0,1,0,1,low,pass
suspicious,7,72,0,0,0,0,0.782,0.525,0,1.825,0,3.07,0,0,14,2,16,low,pass
clean,10,83,0,0,0,0,0.792,0.093,0,1.232,0,0.31,0,0,4,0,4,low,pass
fraudulent,10,72,1,1,1,1,0.081,0.532,1,3.884,1,10.0,1,40,33,25,98,high,fail
clean,10,61,0,0,0,0,0.968,0.0,0,0.893,0,0.31,0,0,1,0,1,low,pass
clean,5,67,0,0,0,0,0.929,0.041,0,0.693,0,0.33,0,0,1,0,1,low,pass
clean,12,59,0,0,0,0,0.795,0.133,0,0.833,0,0.8,0,0,4,0,4,low,pass
clean,2,72,0,0,0,0,0.785,0.143,0,0.669,0,0.68,0,0,4,0,4,low,pass
clean,3,56,0,0,0,0,0.81,0.145,0,0.412,0,0.27,0,0,4,0,4,low,pass
clean,1,71,0,0,0,0,0.943,0.09,0,0.56,0,0.29,0,0,1,0,1,low,pass
clean,2,65,0,0,0,0,0.881,0.059,0,1.132,0,0.83,0,0,2,0,2,low,pass
clean,3,56,0,0,0,0,0.903,0.152,0,0.797,0,0.95,0,0,2,0,2,low,pass
clean,4,77,0,0,0,0,0.936,0.094,0,0.575,0,0.0,0,0,1,0,1,low,pass
clean,12,75,0,0,0,0,0.929,0.019,0,0.716,0,0.64,0,0,1,0,1,low,pass
suspicious,5,82,1,1,1,1,0.355,0.6,0,2.419,1,4.48,0,40,23,18,81,high,fail
clean,1,57,0,0,0,0,0.933,0.0,0,1.049,0,0.5,0,0,1,0,1,low,pass
clean,2,77,0,0,0,0,0.845,0.099,0,1.111,0,0.99,0,0,3,0,3,low,pass
clean,9,85,0,0,0,0,0.755,0.104,0,1.18,0,0.44,0,0,5,0,5,low,pass
clean,12,59,0,0,0,0,0.866,0.111,0,1.323,0,0.72,0,0,3,0,3,low,pass
clean,9,85,0,0,0,0,1.0,0.187,0,0.855,0,0.59,0,0,0,0,0,low,pass
clean,3,74,0,0,0,0,1.0,0.043,0,1.052,0,0.73,0,0,0,0,0,low,pass
clean,2,59,0,0,0,0,0.828,0.081,0,0.851,0,0.71,0,0,3,0,3,low,pass
clean,6,77,0,0,0,0,0.968,0.137,0,0.648,0,0.95,0,0,1,0,1,low,pass
clean,1,55,0,0,0,0,0.945,0.088,0,0.769,0,0.23,0,0,1,0,1,low,pass
clean,2,66,0,0,0,0,0.936,0.006,0,1.12,0,0.36,0,0,1,0,1,low,pass
clean,2,62,0,0,0,0,0.873,0.0,0,0.545,0,0.3,0,0,3,0,3,low,pass
clean,6,86,0,0,1,0,0.777,0.138,0,0.961,0,1.08,0,5,4,0,9,low,pass
clean,12,56,0,0,0,0,0.891,0.067,0,1.145,0,0.36,0,0,2,0,2,low,pass
suspicious,4,68,0,0,0,0,0.472,0.38,0,3.11,0,4.05,0,0,16,15,31,medium,review
suspicious,9,70,1,1,0,0,0.703,0.576,0,2.798,0,1.77,0,32,16,5,53,medium,review
fraudulent,9,94,1,1,1,1,0.254,0.943,0,3.0,1,6.48,0,40,25,18,83,high,fail
clean,8,93,0,0,0,0,0.765,0.106,0,1.127,0,0.9,0,0,5,0,5,low,pass
suspicious,9,85,1,0,1,1,0.522,0.446,0,1.548,0,1.5,1,28,15,2,45,medium,review
suspicious,3,71,0,0,0,0,0.718,0.2,1,1.956,0,3.68,0,0,11,2,13,low,pass
clean,12,59,0,0,0,0,0.868,0.0,0,1.005,0,0.24,0,0,3,0,3,low,pass
suspicious,5,85,0,1,0,0,0.568,0.318,1,1.954,0,1.5,1,12,19,2,33,medium,review
clean,6,95,0,0,0,0,0.821,0.162,0,0.815,0,0.39,0,0,4,0,4,low,pass
clean,7,90,0,0,0,0,0.794,0.036,0,0.7,0,0.57,0,0,4,0,4,low,pass
clean,5,61,0,0,0,0,1.0,0.149,1,1.024,0,1.1,0,0,5,0,5,low,pass
clean,7,74,0,0,0,0,0.887,0.154,0,0.943,0,0.64,0,0,2,0,2,low,pass
clean,9,81,0,0,0,1,0.737,0.085,0,0.788,0,0.32,0,3,5,0,8,low,pass
clean,4,72,0,0,0,0,0.796,0.172,0,0.826,0,0.46,0,0,4,0,4,low,pass
clean,12,59,0,0,0,0,1.0,0.139,0,0.902,0,0.82,0,0,0,0,0,low,pass
clean,1,64,0,0,0,0,0.796,0.079,0,0.828,0,0.57,0,0,4,0,4,low,pass
clean,4,61,0,0,0,0,0.887,0.053,0,0.981,0,0.68,0,0,2,0,2,low,pass
clean,10,65,0,0,0,0,0.813,0.092,0,0.673,0,0.05,0,0,4,0,4,low,pass
clean,2,57,0,0,0,0,0.758,0.136,0,1.005,0,1.08,0,0,5,0,5,low,pass
suspicious,2,72,1,0,1,1,0.556,0.385,0,2.469,0,1.93,1,28,14,7,49,medium,review
clean,11,65,0,0,0,0,0.922,0.119,0,0.711,0,0.61,1,0,2,2,4,low,pass
clean,2,85,0,0,0,0,0.911,0.033,0,1.111,0,0.36,0,0,2,0,2,low,pass
clean,6,77,0,0,0,0,0.604,0.149,0,1.169,0,0.16,0,0,8,0,8,low,pass
clean,12,82,0,0,0,1,0.716,0.166,0,0.777,0,0.9,0,3,6,0,9,low,pass
clean,1,80,0,0,1,0,0.707,0.17,0,1.115,0,0.66,0,5,6,0,11,low,pass
fraudulent,3,81,1,0,1,1,0.0,0.646,1,5.006,0,4.0,1,28,35,14,77,high,fail
clean,5,81,0,0,0,0,0.808,0.12,0,0.668,0,0.89,0,0,4,0,4,low,pass
clean,1,83,0,0,0,0,0.938,0.112,0,0.987,0,0.34,0,0,1,0,1,low,pass
clean,3,83,0,0,0,0,0.897,0.07,0,0.861,0,0.35,0,0,2,0,2,low,pass
clean,9,85,0,0,0,0,0.965,0.16,0,0.699,0,0.9,0,0,1,0,1,low,pass
clean,7,81,0,0,0,0,0.786,0.193,0,1.214,0,1.16,0,0,4,0,4,low,pass
suspicious,7,71,1,0,0,0,0.594,0.352,0,2.149,1,3.38,0,20,13,15,48,medium,review
suspicious,6,75,1,1,0,0,0.398,0.2,0,2.1,0,3.04,0,32,12,7,51,medium,review
clean,7,95,0,0,0,0,0.894,0.12,0,0.928,0,0.85,0,0,2,0,2,low,pass
clean,6,72,0,0,0,0,0.78,0.066,0,1.322,0,0.0,0,0,4,0,4,low,pass
clean,1,71,0,0,0,0,0.94,0.128,0,0.9,0,0.77,0,0,1,0,1,low,pass
fraudulent,1,85,1,1,0,1,0.272,0.5,1,3.421,1,5.78,0,35,25,23,83,high,fail
clean,2,81,0,0,0,1,0.68,0.1,0,1.028,0,0.85,0,3,6,0,9,low,pass
suspicious,6,95,0,1,1,1,0.562,0.305,0,2.412,0,2.92,0,20,14,7,41,medium,review
clean,9,82,0,0,0,0,0.913,0.098,0,1.078,0,0.42,0,0,2,0,2,low,pass
clean,7,89,0,0,0,0,0.953,0.109,0,0.78,0,0.4,0,0,1,0,1,low,pass
suspicious,5,64,0,1,1,0,0.659,0.253,1,2.235,0,4.07,0,17,12,10,39,medium,review
clean,4,65,0,0,0,0,0.891,0.042,0,0.962,0,0.1,0,0,2,0,2,low,pass
clean,9,69,0,0,0,0,0.865,0.169,0,0.915,0,0.16,0,0,3,0,3,low,pass
clean,2,56,0,0,0,0,0.835,0.11,0,1.118,0,0.82,1,0,3,2,5,low,pass
suspicious,1,71,1,0,0,0,0.387,0.348,1,2.497,0,2.4,1,20,22,9,51,medium,review
clean,8,73,0,0,0,0,0.89,0.033,0,0.952,0,0.81,0,0,2,0,2,low,pass
clean,10,85,0,0,0,0,0.854,0.109,0,1.069,0,0.37,0,0,3,0,3,low,pass
clean,11,64,0,0,0,0,0.9,0.098,0,0.718,0,0.77,0,0,2,0,2,low,pass
clean,11,76,0,0,0,0,0.962,0.158,0,1.08,0,0.65,0,0,1,0,1,low,pass
clean,3,72,0,0,0,0,0.879,0.095,0,0.767,0,0.0,0,0,2,0,2,low,pass
fraudulent,3,65,1,1,1,0,0.043,0.702,1,3.179,0,7.12,0,37,34,15,86,high,fail
fraudulent,3,83,1,1,1,0,0.375,0.5,1,3.422,1,9.78,0,37,22,23,82,high,fail
fraudulent,7,83,1,0,1,1,0.283,0.683,0,3.774,1,7.38,1,28,24,25,77,high,fail
suspicious,2,69,0,0,1,0,0.697,0.253,0,3.046,0,3.4,0,5,6,12,23,low,pass
suspicious,12,62,0,0,0,0,0.691,0.482,1,2.456,0,3.45,0,0,16,7,23,low,pass
clean,3,76,0,0,0,0,0.891,0.082,0,1.03,0,0.42,0,0,2,0,2,low,pass
clean,1,83,0,0,0,0,0.85,0.178,0,0.893,0,0.62,0,0,3,0,3,low,pass
clean,12,73,0,0,0,0,0.836,0.082,0,1.286,0,0.06,0,0,3,0,3,low,pass
suspicious,3,67,0,0,0,0,0.558,0.26,1,2.927,0,2.94,1,0,14,9,23,low,pass
clean,7,76,0,0,0,0,0.812,0.008,0,1.215,0,0.1,1,0,4,2,6,low,pass
clean,8,90,0,0,0,0,0.889,0.147,0,1.335,0,0.33,0,0,2,0,2,low,pass
clean,4,80,0,0,0,0,0.782,0.079,0,0.782,0,0.0,0,0,4,0,4,low,pass
clean,5,81,0,0,0,0,0.981,0.079,0,0.868,0,0.69,0,0,0,0,0,low,pass
suspicious,5,82,0,0,1,1,0.758,0.264,0,2.479,0,1.78,1,8,5,7,20,low,pass
clean,1,76,0,0,0,0,0.877,0.115,0,0.805,0,0.57,0,0,2,0,2,low,pass
clean,2,56,0,0,0,0,0.87,0.096,0,0.859,0,0.09,0,0,3,0,3,low,pass
suspicious,2,76,1,0,0,0,0.386,0.319,1,1.796,0,2.43,1,20,22,4,46,medium,review
clean,1,74,0,0,0,0,0.844,0.104,0,1.012,0,0.55,0,0,3,0,3,low,pass
suspicious,12,65,1,0,1,0,0.568,0.434,1,1.842,0,2.17,0,25,19,2,46,medium,review
clean,7,85,0,0,0,0,0.82,0.065,0,0.549,0,0.67,0,0,4,0,4,low,pass
clean,1,83,0,0,0,0,0.77,0.191,0,0.933,0,0.05,0,0,5,0,5,low,pass
fraudulent,12,85,1,1,1,0,0.267,0.705,1,4.433,0,5.75,1,37,30,17,84,high,fail
suspicious,9,90,1,0,0,0,0.41,0.234,0,1.659,0,1.63,0,20,12,0,32,medium,review
suspicious,10,77,0,1,0,1,0.496,0.375,0,1.526,0,3.9,1,15,15,4,34,medium,review
clean,4,61,0,0,0,0,0.861,0.221,0,0.819,0,1.17,0,0,3,0,3,low,pass
clean,6,76,0,0,0,0,0.91,0.002,0,0.662,0,0.6,0,0,2,0,2,low,pass
fraudulent,2,69,1,1,1,0,0.025,0.566,0,3.0,1,9.71,1,37,30,20,87,high,fail
clean,10,60,0,0,1,0,0.938,0.083,0,1.202,0,0.88,0,5,1,0,6,low,pass
clean,9,86,0,0,0,0,0.955,0.072,0,0.838,0,0.17,0,0,1,0,1,low,pass
clean,7,68,0,0,0,0,0.841,0.059,0,0.685,0,0.84,0,0,3,0,3,low,pass
clean,5,63,0,0,0,0,0.904,0.056,0,1.089,0,0.59,0,0,2,0,2,low,pass
clean,1,59,0,0,0,0,0.825,0.18,0,0.961,0,1.03,0,0,4,0,4,low,pass
clean,7,73,0,0,0,0,0.895,0.133,0,0.685,0,0.33,0,0,2,0,2,low,pass
clean,2,67,0,0,0,0,0.967,0.158,0,0.828,0,0.09,0,0,1,0,1,low,pass
suspicious,8,86,0,0,1,0,0.799,0.487,0,1.728,0,1.86,0,5,9,0,14,low,pass
clean,10,72,0,0,0,0,0.997,0.075,0,0.802,0,0.3,0,0,0,0,0,low,pass
clean,7,70,0,0,0,0,0.878,0.03,0,0.948,0,0.08,0,0,2,0,2,low,pass
clean,11,74,0,0,0,0,0.738,0.032,0,0.635,0,0.72,0,0,5,0,5,low,pass
clean,9,72,0,0,0,0,0.908,0.092,0,0.774,0,0.91,0,0,2,0,2,low,pass
clean,6,78,0,0,1,0,0.906,0.041,0,0.97,0,0.59,0,5,2,0,7,low,pass
clean,1,70,0,0,0,0,0.907,0.237,0,0.736,0,0.67,0,0,2,0,2,low,pass
clean,11,84,0,0,0,0,0.97,0.186,0,0.936,0,0.11,0,0,1,0,1,low,pass
suspicious,8,72,0,0,0,0,0.281,0.463,1,2.471,0,3.13,1,0,24,9,33,medium,review
clean,3,57,0,0,0,0,0.873,0.149,0,1.009,0,0.62,0,0,3,0,3,low,pass
clean,11,60,0,0,0,0,0.803,0.152,0,0.785,0,0.79,0,0,4,0,4,low,pass
clean,6,82,0,0,0,0,0.819,0.129,0,1.253,0,0.7,0,0,4,0,4,low,pass
clean,3,78,0,0,0,0,0.963,0.081,0,0.919,0,0.39,0,0,1,0,1,low,pass
clean,10,59,0,0,0,0,0.717,0.153,0,1.014,0,0.65,0,0,6,0,6,low,pass
clean,1,72,0,0,0,0,0.949,0.043,0,0.625,0,0.87,0,0,1,0,1,low,pass
clean,10,72,0,0,0,0,0.844,0.111,1,0.607,0,0.94,0,0,8,0,8,low,pass
fraudulent,1,82,1,1,1,0,0.267,0.614,1,5.869,1,4.45,0,37,30,23,90,high,fail
clean,10,77,0,0,0,0,0.824,0.149,0,1.131,0,0.05,0,0,4,0,4,low,pass
suspicious,10,65,0,0,0,1,0.507,0.455,1,3.037,0,4.39,0,3,20,15,38,medium,review
clean,9,79,0,0,0,0,0.906,0.104,0,0.864,0,0.65,0,0,2,0,2,low,pass
fraudulent,2,66,0,1,1,1,0.343,0.668,1,3.981,1,8.22,0,20,28,23,71,high,fail
fraudulent,3,55,0,1,1,1,0.306,0.625,1,3.145,0,4.0,1,20,29,14,63,high,fail
clean,8,80,0,0,0,0,0.86,0.045,0,1.079,0,0.0,0,0,3,0,3,low,pass
clean,10,84,0,0,0,0,0.979,0.083,0,0.74,0,0.34,0,0,0,0,0,low,pass
clean,3,65,0,0,0,0,0.781,0.176,0,1.034,0,0.53,1,0,4,2,6,low,pass
clean,11,72,0,0,0,0,0.754,0.097,0,0.746,0,0.0,0,0,5,0,5,low,pass
clean,11,80,0,0,0,0,0.795,0.13,0,0.815,0,0.46,1,0,4,2,6,low,pass
clean,6,89,0,0,0,0,0.933,0.143,0,1.292,0,0.0,0,0,1,0,1,low,pass
clean,10,56,0,0,1,0,0.783,0.145,0,0.986,0,0.53,0,5,4,0,9,low,pass
clean,12,65,0,0,0,0,0.802,0.111,0,0.934,0,0.0,0,0,4,0,4,low,pass
clean,8,83,0,0,0,0,0.867,0.074,0,1.068,0,0.6,0,0,3,0,3,low,pass
clean,3,75,0,0,0,0,1.0,0.1,0,0.682,0,0.0,0,0,0,0,0,low,pass
fraudulent,5,80,1,0,0,1,0.106,0.757,0,4.706,0,5.59,0,23,28,15,66,high,fail
clean,6,77,0,0,0,0,0.816,0.103,0,0.976,0,0.81,0,0,4,0,4,low,pass
suspicious,9,89,1,0,0,0,0.462,0.306,1,3.312,0,4.78,0,20,21,15,56,medium,review
clean,7,95,0,0,0,0,0.808,0.157,0,1.341,0,0.9,0,0,4,0,4,low,pass
clean,11,66,0,0,0,0,0.789,0.105,0,0.55,0,0.21,0,0,4,0,4,low,pass
fraudulent,12,67,1,1,1,1,0.198,0.733,0,3.646,0,4.0,1,40,26,14,80,high,fail
clean,1,74,0,0,0,0,0.865,0.136,0,1.053,0,0.44,0,0,3,0,3,low,pass
fraudulent,4,55,1,1,1,1,0.186,0.737,1,4.527,0,6.36,0,40,31,15,86,high,fail
clean,2,84,0,0,0,0,0.664,0.17,0,0.807,0,0.13,0,0,7,0,7,low,pass
suspicious,12,65,0,0,1,0,0.491,0.391,1,1.995,0,2.46,1,5,20,4,29,low,pass
clean,8,68,0,0,0,0,0.824,0.118,0,0.74,0,0.6,0,0,4,0,4,low,pass
suspicious,6,84,0,0,0,0,0.343,0.581,0,2.836,0,2.73,0,0,23,7,30,medium,review
clean,6,66,0,0,1,0,0.877,0.042,0,1.012,0,0.75,0,5,2,0,7,low,pass
clean,11,80,0,0,0,0,0.871,0.145,0,0.899,0,0.47,1,0,3,2,5,low,pass
clean,6,70,0,0,0,0,0.797,0.128,0,0.733,0,0.62,0,0,4,0,4,low,pass
clean,10,71,0,0,0,0,0.874,0.167,0,1.017,0,0.0,0,0,3,0,3,low,pass
suspicious,8,65,1,1,0,0,0.45,0.311,0,1.934,0,3.97,1,32,16,4,52,medium,review
clean,3,84,0,0,0,0,0.674,0.171,0,1.1,0,0.56,0,0,7,0,7,low,pass
clean,1,85,0,0,0,0,0.878,0.104,0,0.932,0,0.84,0,0,2,0,2,low,pass
clean,8,82,0,0,0,0,0.832,0.13,0,0.726,0,0.66,0,0,3,0,3,low,pass
clean,6,81,0,0,0,0,0.828,0.121,0,0.727,0,0.63,0,0,3,0,3,low,pass
clean,6,88,0,0,0,0,0.846,0.178,0,0.952,0,0.65,0,0,3,0,3,low,pass
suspicious,12,81,0,0,1,0,0.484,0.411,0,2.537,0,2.65,0,5,15,7,27,low,pass
clean,7,75,0,0,1,0,0.815,0.06,1,0.885,0,0.3,1,5,9,2,16,low,pass
clean,3,80,0,0,0,0,0.873,0.06,0,0.876,0,0.22,0,0,3,0,3,low,pass
clean,2,85,0,0,0,0,0.942,0.101,0,0.903,0,0.68,0,0,1,0,1,low,pass
clean,2,80,0,0,0,0,0.992,0.104,0,0.602,0,0.85,0,0,0,0,0,low,pass
clean,8,66,0,0,0,0,0.741,0.075,0,1.139,0,0.4,0,0,5,0,5,low,pass
clean,11,58,0,0,0,0,0.804,0.114,0,0.902,0,0.29,0,0,4,0,4,low,pass
clean,7,83,0,0,0,0,0.92,0.161,0,1.178,0,0.67,0,0,2,0,2,low,pass
clean,12,84,0,0,0,0,0.794,0.037,0,0.437,0,0.81,0,0,4,0,4,low,pass
fraudulent,5,75,1,0,1,0,0.219,0.637,0,3.0,0,4.73,0,25,26,10,61,high,fail
clean,5,61,0,0,0,0,0.709,0.172,0,1.027,0,0.11,0,0,6,0,6,low,pass
clean,12,72,0,0,0,0,0.981,0.064,0,0.97,0,0.61,0,0,0,0,0,low,pass
clean,3,61,0,0,0,0,0.842,0.085,0,0.907,0,0.42,0,0,3,0,3,low,pass
clean,10,57,0,0,0,0,0.87,0.114,0,0.795,0,0.83,0,0,3,0,3,low,pass
clean,7,73,0,0,0,0,0.783,0.12,0,0.832,0,0.24,0,0,4,0,4,low,pass
clean,9,70,0,0,0,0,0.828,0.067,0,1.032,0,0.47,0,0,3,0,3,low,pass
clean,3,80,0,0,0,0,0.96,0.052,0,0.461,0,0.62,0,0,1,0,1,low,pass
clean,6,82,0,0,0,0,0.988,0.124,0,0.712,0,0.19,0,0,0,0,0,low,pass
fraudulent,1,65,1,1,0,0,0.4,0.643,1,3.388,1,8.29,1,32,27,25,84,high,fail
fraudulent,4,78,1,1,0,0,0.185,0.5,0,5.866,0,7.38,1,32,21,17,70,high,fail
suspicious,8,86,1,0,0,1,0.323,0.52,0,1.776,0,1.89,1,23,24,2,49,medium,review
clean,1,65,0,0,0,0,0.779,0.197,0,1.309,0,0.34,0,0,4,0,4,low,pass
clean,4,78,0,0,0,0,0.986,0.0,0,1.083,0,0.91,0,0,0,0,0,low,pass
clean,6,86,0,0,0,0,0.971,0.104,0,1.013,0,0.28,0,0,1,0,1,low,pass
clean,3,62,0,0,0,0,0.852,0.092,0,0.856,0,0.84,0,0,3,0,3,low,pass
clean,10,82,0,0,0,0,0.867,0.185,0,0.95,0,1.16,0,0,3,0,3,low,pass
clean,7,68,0,0,0,0,0.948,0.096,0,0.935,0,0.25,0,0,1,0,1,low,pass
clean,4,60,0,0,0,0,0.863,0.051,0,1.166,0,0.4,0,0,3,0,3,low,pass
fraudulent,5,82,1,0,1,1,0.236,0.5,1,3.986,1,5.94,1,28,25,25,78,high,fail
clean,10,69,0,0,1,0,0.924,0.126,0,1.104,0,0.63,0,5,2,0,7,low,pass
suspicious,6,72,0,0,0,0,0.735,0.422,0,1.612,0,2.91,0,0,10,2,12,low,pass
clean,6,69,0,0,0,0,0.847,0.0,0,0.697,0,1.11,0,0,3,0,3,low,pass
clean,3,55,0,0,0,0,0.828,0.095,0,0.464,0,0.1,0,0,3,0,3,low,pass
clean,7,88,0,0,0,0,0.889,0.077,0,0.678,0,0.89,0,0,2,0,2,low,pass
clean,1,63,0,0,0,0,0.794,0.035,0,0.908,0,0.26,0,0,4,0,4,low,pass
suspicious,8,81,0,0,1,0,0.428,0.374,0,1.978,0,1.5,0,5,16,0,21,low,pass
suspicious,11,71,1,0,0,0,0.634,0.467,0,2.175,0,3.62,0,20,12,7,39,medium,review
fraudulent,1,61,1,0,1,1,0.163,0.5,1,4.917,0,6.35,1,28,27,17,72,high,fail
suspicious,6,68,1,0,0,0,0.573,0.369,0,2.209,0,3.14,0,20,14,7,41,medium,review
suspicious,2,55,0,0,1,0,0.574,0.506,0,2.519,0,4.18,0,5,19,10,34,medium,review
clean,2,64,0,0,0,0,0.971,0.019,0,1.155,0,0.7,0,0,1,0,1,low,pass
clean,1,74,0,0,0,0,0.889,0.149,0,0.847,0,0.68,0,0,2,0,2,low,pass
clean,2,61,0,0,0,0,0.765,0.029,0,1.006,0,0.48,0,0,5,0,5,low,pass
clean,7,66,0,0,0,0,0.85,0.06,0,0.978,0,0.37,0,0,3,0,3,low,pass
fraudulent,11,84,1,1,1,1,0.195,0.627,1,3.558,0,6.19,1,40,31,17,88,high,fail
suspicious,2,58,1,0,1,1,0.728,0.333,1,2.237,0,2.73,0,28,15,7,50,medium,review
