city_tier,month_of_year,hour_of_day,day_of_week,is_monsoon,is_heat_season,rainfall_score,aqi_score,heat_score,order_drop_score,social_score,prev_rainfall,prev_aqi,prev_heat,hist_avg_rainfall,hist_avg_aqi,current_dcs,prev_dcs,hist_avg_dcs,dcs_trend,forecast_dcs,disruption_probability
Tier 4,6,3,5,1,1,0.7222,0.3075,0.5878,0.3496,0.2914,0.7926,0.3023,0.5895,0.598,0.322,74,80,70,-6,83,0.881
Tier 1,11,12,1,0,0,0.3374,0.4193,0.3853,0.2001,0.1311,0.3271,0.3941,0.4437,0.28,0.48,34,34,32,0,31,0.176
Tier 4,11,21,1,0,0,0.4582,0.2461,0.4829,0.4007,0.1668,0.3879,0.1674,0.4241,0.52,0.28,45,39,49,6,44,0.241
Tier 4,3,3,6,0,0,0.5234,0.2755,0.5827,0.3588,0.3039,0.5482,0.2508,0.5628,0.52,0.28,51,51,49,0,55,0.496
Tier 3,1,17,3,0,0,0.4992,0.5142,0.4977,0.3934,0.2348,0.5003,0.4578,0.4777,0.48,0.52,58,51,49,7,62,0.66
Tier 4,12,2,3,0,0,0.5229,0.24,0.5498,0.2805,0.3499,0.5756,0.2794,0.4942,0.52,0.28,48,51,49,-3,55,0.21
Tier 3,5,9,5,0,1,0.441,0.4929,0.5938,0.3717,0.0647,0.4672,0.4412,0.5553,0.48,0.52,55,47,49,8,57,0.608
Tier 1,3,2,0,0,0,0.2081,0.541,0.3939,0.1862,0.2221,0.241,0.5683,0.3617,0.28,0.48,34,36,32,-2,33,0.149
Tier 1,2,2,4,0,0,0.2877,0.431,0.1912,0.2399,0.0099,0.292,0.4443,0.2042,0.28,0.48,28,29,32,-1,27,0.162
Tier 2,3,0,2,0,0,0.434,0.4341,0.3838,0.1656,0.1662,0.4607,0.4264,0.4056,0.33,0.42,39,41,36,-2,39,0.222
Tier 3,8,14,4,1,0,0.6871,0.4576,0.4433,0.3157,0.3269,0.6734,0.4758,0.421,0.552,0.598,70,75,71,-5,74,0.941
Tier 4,11,15,6,0,0,0.3862,0.2642,0.4493,0.2969,0.3026,0.3942,0.2256,0.4257,0.52,0.28,42,44,49,-2,40,0.267
Tier 4,5,22,0,0,1,0.405,0.2779,0.6511,0.4068,0.2413,0.4286,0.2917,0.6138,0.52,0.28,49,50,49,-1,49,0.283
Tier 2,4,23,2,0,1,0.3551,0.5089,0.5527,0.2069,0.1396,0.3541,0.4881,0.6179,0.33,0.42,43,48,36,-5,42,0.304
Tier 1,2,7,6,0,0,0.2121,0.4293,0.2372,0.166,0.1147,0.1935,0.4077,0.2429,0.28,0.48,29,26,32,3,30,0.165
Tier 2,7,18,2,1,0,0.5829,0.4852,0.397,0.2105,0.0937,0.5672,0.4642,0.4262,0.3795,0.483,63,57,52,6,70,0.803
Tier 4,12,7,0,0,0,0.4944,0.214,0.4936,0.499,0.1967,0.4814,0.2063,0.4877,0.52,0.28,52,46,49,6,53,0.549
Tier 3,7,10,2,1,0,0.6133,0.4993,0.4469,0.2832,0.2598,0.6074,0.4958,0.518,0.552,0.598,67,70,71,-3,83,0.855
Tier 2,4,15,2,0,1,0.2108,0.47,0.4345,0.2471,0.0372,0.1921,0.4554,0.4037,0.33,0.42,34,36,36,-2,29,0.186
Tier 4,7,17,0,1,0,0.6621,0.2686,0.5394,0.2902,0.1413,0.6817,0.3136,0.5363,0.598,0.322,71,67,70,4,82,0.907
Tier 3,7,16,2,1,0,0.5283,0.4559,0.4293,0.2891,0.1912,0.5538,0.4662,0.3773,0.552,0.598,60,62,71,-2,67,0.71
Tier 3,1,12,5,0,0,0.4443,0.5283,0.5432,0.4078,0.2251,0.4561,0.5147,0.5505,0.48,0.52,53,54,49,-1,48,0.511
Tier 2,2,3,4,0,0,0.3608,0.4348,0.3412,0.2816,0.1147,0.3554,0.4342,0.3272,0.33,0.42,37,37,36,0,31,0.2
Tier 2,12,4,3,0,0,0.3403,0.4292,0.4323,0.223,0.1688,0.369,0.4091,0.4443,0.33,0.42,38,39,36,-1,35,0.204
Tier 1,10,3,1,0,0,0.2849,0.5037,0.3189,0.0838,0.1019,0.2874,0.5134,0.2952,0.28,0.48,31,31,32,0,28,0.16
Tier 3,5,9,0,0,1,0.4631,0.5196,0.603,0.2219,0.2084,0.439,0.5262,0.6195,0.48,0.52,56,50,49,6,61,0.604
Tier 2,5,9,4,0,1,0.3674,0.5364,0.5774,0.202,0.136,0.3341,0.5716,0.6,0.33,0.42,49,44,36,5,43,0.275
Tier 1,8,3,2,1,0,0.4872,0.4929,0.2706,0.0922,0.1578,0.4889,0.5292,0.2552,0.322,0.552,46,47,46,-1,51,0.254
Tier 2,11,18,2,0,0,0.3123,0.4569,0.4465,0.2137,0.1092,0.366,0.4307,0.4717,0.33,0.42,41,38,36,3,42,0.122
Tier 4,8,1,2,1,0,0.601,0.3116,0.5516,0.3117,0.2289,0.4997,0.3399,0.5616,0.598,0.322,66,63,70,3,78,0.819
Tier 3,7,13,1,1,0,0.5676,0.6518,0.552,0.2029,0.1593,0.5581,0.6949,0.4657,0.552,0.598,70,74,71,-4,85,0.886
Tier 4,8,8,0,1,0,0.7248,0.2437,0.4749,0.3872,0.2473,0.7468,0.2366,0.4521,0.598,0.322,75,69,70,6,79,0.912
Tier 2,3,13,1,0,0,0.3485,0.4237,0.371,0.066,0.1136,0.4201,0.4242,0.3587,0.33,0.42,34,40,36,-6,33,0.163
Tier 4,1,19,0,0,0,0.5455,0.3806,0.5804,0.4904,0.1806,0.6125,0.349,0.5945,0.52,0.28,62,58,49,4,68,0.767
Tier 4,5,18,2,0,1,0.4774,0.3802,0.5869,0.4664,0.2801,0.4738,0.3641,0.5666,0.52,0.28,60,53,49,7,61,0.759
Tier 1,6,6,5,1,1,0.492,0.4293,0.4373,0.169,0.0382,0.4448,0.5131,0.4494,0.322,0.552,49,50,46,-1,48,0.212
Tier 2,11,11,3,0,0,0.2818,0.5193,0.3648,0.0735,0.2126,0.2696,0.4453,0.3522,0.33,0.42,35,33,36,2,38,0.149
Tier 2,6,4,2,1,1,0.5328,0.378,0.4375,0.2731,0.1678,0.5442,0.3951,0.41,0.3795,0.483,55,54,52,1,69,0.648
Tier 4,8,7,2,1,0,0.7677,0.2818,0.5362,0.3507,0.1584,0.7687,0.2284,0.5312,0.598,0.322,79,71,70,8,87,0.898
Tier 4,5,3,0,0,1,0.4699,0.2762,0.7325,0.3892,0.369,0.5176,0.2844,0.7596,0.52,0.28,54,56,49,-2,55,0.61
Tier 4,5,18,6,0,1,0.5055,0.2964,0.7445,0.4008,0.1322,0.5153,0.2897,0.789,0.52,0.28,59,56,49,3,61,0.656
Tier 1,9,16,2,1,0,0.5468,0.4445,0.2287,0.212,0.0672,0.6184,0.4563,0.2351,0.322,0.552,47,51,46,-4,59,0.223
Tier 1,2,8,1,0,0,0.2324,0.4756,0.2613,0.2417,0.0,0.2268,0.5,0.275,0.28,0.48,32,30,32,2,27,0.159
Tier 3,1,11,6,0,0,0.5191,0.5478,0.4395,0.3518,0.1852,0.5488,0.6089,0.4842,0.48,0.52,52,57,49,-5,60,0.546
Tier 1,4,5,6,0,1,0.2074,0.4982,0.4854,0.215,0.0923,0.177,0.5244,0.4329,0.28,0.48,34,34,32,0,32,0.187
Tier 3,10,15,6,0,0,0.5154,0.4355,0.5294,0.2982,0.1419,0.4855,0.4221,0.4775,0.48,0.52,49,53,49,-4,56,0.238
Tier 2,9,16,0,1,0,0.5182,0.4655,0.4855,0.1858,0.0729,0.5801,0.394,0.4451,0.3795,0.483,56,53,52,3,70,0.646
Tier 1,1,6,6,0,0,0.2455,0.5568,0.407,0.1732,0.073,0.3359,0.5856,0.4172,0.28,0.48,34,39,32,-5,30,0.172
Tier 2,5,1,2,0,1,0.3923,0.3005,0.5127,0.303,0.1093,0.4542,0.3571,0.5101,0.33,0.42,39,42,36,-3,44,0.251
Tier 3,4,21,6,0,1,0.4875,0.4835,0.637,0.2946,0.1054,0.4907,0.5364,0.565,0.48,0.52,52,53,49,-1,48,0.591
Tier 2,6,20,3,1,1,0.4886,0.4465,0.5116,0.2016,0.103,0.5165,0.4804,0.509,0.3795,0.483,61,56,52,5,65,0.713
Tier 2,8,23,0,1,0,0.642,0.3262,0.247,0.1761,0.1826,0.5998,0.2869,0.285,0.3795,0.483,51,54,52,-3,64,0.507
Tier 2,5,21,2,0,1,0.3073,0.4686,0.4493,0.0914,0.114,0.3445,0.4788,0.4836,0.33,0.42,36,37,36,-1,35,0.139
Tier 2,1,16,0,0,0,0.3817,0.4133,0.5643,0.0894,0.2221,0.366,0.3486,0.5432,0.33,0.42,40,38,36,2,43,0.243
Tier 2,6,17,3,1,1,0.4721,0.4878,0.5535,0.1807,0.1273,0.4437,0.4893,0.5243,0.3795,0.483,63,54,52,9,67,0.754
Tier 1,1,7,0,0,0,0.3621,0.4644,0.3018,0.2196,0.0921,0.3655,0.3636,0.3025,0.28,0.48,38,30,32,8,31,0.159
Tier 2,9,16,6,1,0,0.4971,0.3908,0.4199,0.2333,0.0259,0.5004,0.4035,0.4067,0.3795,0.483,51,51,52,0,56,0.473
Tier 1,8,0,0,1,0,0.4653,0.5705,0.405,0.2311,0.1322,0.5315,0.6472,0.3998,0.322,0.552,54,58,46,-4,66,0.533
Tier 2,7,6,5,1,0,0.5018,0.3352,0.3875,0.1478,0.1335,0.4238,0.3599,0.4364,0.3795,0.483,48,46,52,2,58,0.245
Tier 4,6,22,2,1,1,0.7177,0.3261,0.744,0.3012,0.2014,0.7538,0.2692,0.6652,0.598,0.322,77,74,70,3,85,0.883
Tier 3,9,4,2,1,0,0.6344,0.468,0.5216,0.2092,0.1641,0.5982,0.4098,0.5564,0.552,0.598,66,63,71,3,72,0.798
Tier 2,12,17,2,0,0,0.3754,0.5752,0.2614,0.2079,0.1647,0.3507,0.6092,0.2268,0.33,0.42,43,38,36,5,44,0.195
Tier 4,2,15,2,0,0,0.4989,0.3367,0.4583,0.3541,0.1106,0.4554,0.352,0.4187,0.52,0.28,47,49,49,-2,43,0.26
Tier 1,4,14,0,0,1,0.2929,0.5061,0.5445,0.1992,0.1923,0.3294,0.4852,0.5962,0.28,0.48,39,45,32,-6,37,0.228
Tier 2,5,11,3,0,1,0.3573,0.5293,0.5952,0.2514,0.0784,0.3501,0.5322,0.6231,0.33,0.42,44,45,36,-1,42,0.242
Tier 2,12,13,6,0,0,0.2785,0.5217,0.2572,0.3073,0.1373,0.3186,0.5363,0.271,0.33,0.42,36,42,36,-6,33,0.211
Tier 4,9,11,3,1,0,0.6549,0.2797,0.5702,0.4097,0.2476,0.6392,0.3155,0.5434,0.598,0.322,70,71,70,-1,76,0.864
Tier 3,10,5,6,0,0,0.4826,0.5284,0.5982,0.2177,0.1824,0.4402,0.5087,0.6655,0.48,0.52,51,50,49,1,50,0.519
Tier 2,2,12,3,0,0,0.3612,0.3504,0.4794,0.3355,0.1428,0.4581,0.3344,0.4954,0.33,0.42,39,43,36,-4,32,0.147
Tier 2,7,19,4,1,0,0.6536,0.3883,0.3689,0.1532,0.1969,0.6224,0.3686,0.3808,0.3795,0.483,62,54,52,8,77,0.753
Tier 2,8,16,6,1,0,0.5378,0.4329,0.3567,0.3398,0.0913,0.5463,0.4375,0.397,0.3795,0.483,55,58,52,-3,66,0.61
Tier 2,2,8,1,0,0,0.1937,0.3247,0.3437,0.1863,0.068,0.2237,0.3247,0.3351,0.33,0.42,29,27,36,2,19,0.14
Tier 3,3,7,2,0,0,0.4838,0.5345,0.3862,0.2935,0.1175,0.4513,0.5632,0.4667,0.48,0.52,52,49,49,3,50,0.568
Tier 4,5,20,2,0,1,0.5573,0.4446,0.6271,0.3651,0.3129,0.6167,0.3666,0.6269,0.52,0.28,65,61,49,4,73,0.789
Tier 1,11,7,6,0,0,0.2194,0.6131,0.3637,0.1291,0.0878,0.2319,0.6349,0.3277,0.28,0.48,37,33,32,4,43,0.175
Tier 1,4,7,2,0,1,0.308,0.5653,0.4832,0.1732,0.1116,0.3105,0.6152,0.4956,0.28,0.48,42,40,32,2,43,0.17
Tier 4,12,14,4,0,0,0.612,0.3019,0.537,0.4104,0.186,0.6501,0.2868,0.478,0.52,0.28,54,58,49,-4,57,0.628
Tier 3,12,8,4,0,0,0.5514,0.6,0.4875,0.2955,0.1084,0.5912,0.6152,0.5102,0.48,0.52,59,57,49,2,69,0.69
Tier 4,5,4,3,0,1,0.4639,0.2687,0.6996,0.3305,0.2985,0.4034,0.3137,0.726,0.52,0.28,51,50,49,1,42,0.496
Tier 3,9,5,3,1,0,0.7428,0.5166,0.5498,0.2428,0.2224,0.7141,0.478,0.5455,0.552,0.598,75,71,71,4,85,0.903
Tier 4,12,18,1,0,0,0.5961,0.3362,0.5932,0.3932,0.24,0.5469,0.3422,0.6171,0.52,0.28,61,56,49,5,70,0.689
Tier 4,7,4,1,1,0,0.7004,0.3058,0.5897,0.3413,0.2151,0.7279,0.2607,0.654,0.598,0.322,72,71,70,1,83,0.951
Tier 4,1,23,3,0,0,0.5552,0.3251,0.5225,0.3409,0.1273,0.4648,0.3329,0.575,0.52,0.28,50,54,49,-4,60,0.51
Tier 2,5,20,2,0,1,0.3226,0.3709,0.6513,0.2516,0.0834,0.2758,0.421,0.6098,0.33,0.42,44,39,36,5,46,0.235
Tier 2,11,14,0,0,0,0.3371,0.4095,0.4934,0.2624,0.0858,0.2684,0.4166,0.4934,0.33,0.42,39,39,36,0,35,0.195
Tier 2,9,6,4,1,0,0.5736,0.5096,0.4345,0.1767,0.1621,0.5761,0.4563,0.4505,0.3795,0.483,59,59,52,0,65,0.681
Tier 2,7,21,5,1,0,0.4572,0.4718,0.4115,0.2097,0.1201,0.4487,0.4721,0.3806,0.3795,0.483,52,51,52,1,53,0.545
Tier 4,9,10,5,1,0,0.7371,0.2993,0.4496,0.2494,0.1847,0.7529,0.2702,0.4354,0.598,0.322,66,66,70,0,74,0.877
Tier 2,9,9,3,1,0,0.5273,0.3776,0.4501,0.2233,0.1191,0.535,0.3513,0.4094,0.3795,0.483,59,51,52,8,70,0.691
Tier 3,2,20,1,0,0,0.5312,0.5877,0.4557,0.31,0.2096,0.5443,0.5685,0.4145,0.48,0.52,59,52,49,7,64,0.603
Tier 2,2,8,1,0,0,0.2498,0.3674,0.4458,0.2613,0.1068,0.279,0.4029,0.4394,0.33,0.42,37,34,36,3,34,0.148
Tier 3,10,10,2,0,0,0.502,0.5368,0.5067,0.2967,0.2238,0.4948,0.5449,0.4908,0.48,0.52,52,52,49,0,51,0.566
Tier 3,6,3,3,1,1,0.6428,0.475,0.6457,0.1906,0.131,0.6088,0.4661,0.6135,0.552,0.598,69,69,71,0,73,0.896
Tier 1,11,14,2,0,0,0.3315,0.5126,0.2805,0.1654,0.0551,0.3147,0.4642,0.2759,0.28,0.48,33,33,32,0,27,0.171
Tier 3,10,21,3,0,0,0.4392,0.5374,0.5449,0.3754,0.0283,0.4059,0.5253,0.5633,0.48,0.52,50,47,49,3,48,0.503
Tier 4,11,4,4,0,0,0.5427,0.3066,0.5403,0.3616,0.2233,0.5692,0.217,0.6021,0.52,0.28,51,49,49,2,56,0.54
Tier 4,10,4,6,0,0,0.3403,0.2783,0.5675,0.4097,0.1782,0.3283,0.2537,0.5518,0.52,0.28,44,41,49,3,43,0.224
Tier 3,12,15,3,0,0,0.5095,0.5328,0.5223,0.3327,0.0755,0.4753,0.5236,0.5214,0.48,0.52,52,55,49,-3,63,0.546
Tier 3,7,9,4,1,0,0.6851,0.571,0.368,0.2817,0.2387,0.6593,0.5219,0.3606,0.552,0.598,77,66,71,11,94,0.886
Tier 4,1,20,2,0,0,0.4508,0.2744,0.5745,0.351,0.2491,0.4159,0.3339,0.5969,0.52,0.28,52,50,49,2,52,0.514
Tier 2,10,12,0,0,0,0.3005,0.5008,0.4736,0.1512,0.155,0.2833,0.4729,0.485,0.33,0.42,38,38,36,0,35,0.205
Tier 2,6,7,6,1,1,0.5084,0.4447,0.6138,0.0954,0.1878,0.4468,0.4939,0.5883,0.3795,0.483,63,56,52,7,75,0.73
Tier 1,9,3,0,1,0,0.4048,0.4688,0.2478,0.1163,0.1069,0.3662,0.4858,0.3074,0.322,0.552,42,42,46,0,51,0.174
Tier 1,7,1,5,1,0,0.5515,0.5443,0.3713,0.2575,0.1168,0.5282,0.588,0.4166,0.322,0.552,56,59,46,-3,64,0.626
Tier 1,7,16,6,1,0,0.5365,0.5415,0.2942,0.1989,0.0215,0.5759,0.5101,0.3256,0.322,0.552,51,52,46,-1,62,0.497
Tier 2,3,4,4,0,0,0.3715,0.3846,0.425,0.2036,0.0367,0.3322,0.3674,0.4797,0.33,0.42,36,37,36,-1,38,0.164
Tier 1,2,16,6,0,0,0.2687,0.4553,0.2797,0.0695,0.0991,0.2173,0.454,0.3643,0.28,0.48,28,28,32,0,28,0.148
Tier 3,1,3,5,0,0,0.4975,0.4983,0.4661,0.2224,0.2308,0.4279,0.5371,0.4099,0.48,0.52,49,47,49,2,43,0.262
Tier 2,8,20,3,1,0,0.5857,0.3937,0.4232,0.0829,0.0608,0.6374,0.3848,0.3487,0.3795,0.483,57,51,52,6,67,0.629
Tier 2,8,18,0,1,0,0.5407,0.4158,0.4616,0.2455,0.1675,0.5873,0.4003,0.4111,0.3795,0.483,62,58,52,4,73,0.721
Tier 3,7,15,3,1,0,0.643,0.5708,0.5391,0.327,0.2276,0.6657,0.5761,0.5321,0.552,0.598,74,83,71,-9,86,0.876
Tier 3,5,3,4,0,1,0.4404,0.5058,0.5818,0.3279,0.0991,0.4444,0.5111,0.5093,0.48,0.52,50,48,49,2,49,0.494
Tier 2,6,6,3,1,1,0.5706,0.4134,0.5308,0.2351,0.1956,0.5436,0.394,0.5041,0.3795,0.483,60,58,52,2,72,0.666
Tier 1,7,10,1,1,0,0.444,0.5024,0.2656,0.1365,0.1807,0.4194,0.5406,0.3158,0.322,0.552,46,47,46,-1,48,0.197
Tier 3,8,15,5,1,0,0.6873,0.5077,0.5016,0.3638,0.229,0.7068,0.429,0.5194,0.552,0.598,73,79,71,-6,86,0.895
Tier 4,10,23,3,0,0,0.469,0.3281,0.6226,0.3965,0.1977,0.4313,0.3339,0.6575,0.52,0.28,51,55,49,-4,57,0.552
Tier 1,11,5,0,0,0,0.349,0.3924,0.2776,0.1845,0.0399,0.413,0.4488,0.2562,0.28,0.48,30,35,32,-5,35,0.154
Tier 2,9,8,5,1,0,0.5646,0.504,0.4567,0.2506,0.1315,0.5851,0.4713,0.4627,0.3795,0.483,66,58,52,8,77,0.858
Tier 2,6,21,0,1,1,0.5855,0.4151,0.6348,0.1859,0.0249,0.4983,0.3678,0.6675,0.3795,0.483,60,55,52,5,75,0.667
Tier 2,11,21,1,0,0,0.3587,0.4523,0.3284,0.3013,0.1227,0.3434,0.5368,0.3493,0.33,0.42,38,41,36,-3,34,0.227
Tier 2,12,3,2,0,0,0.2999,0.3873,0.3637,0.1827,0.1893,0.3106,0.3677,0.3907,0.33,0.42,34,34,36,0,32,0.184
Tier 4,11,23,6,0,0,0.5434,0.2582,0.5708,0.3367,0.1807,0.4847,0.2975,0.5713,0.52,0.28,49,54,49,-5,53,0.204
Tier 3,2,14,2,0,0,0.4842,0.5385,0.4642,0.3684,0.0308,0.529,0.5701,0.4825,0.48,0.52,50,56,49,-6,44,0.485
Tier 3,5,5,2,0,1,0.4698,0.5444,0.6684,0.3336,0.229,0.4799,0.5611,0.6247,0.48,0.52,56,55,49,1,56,0.642
Tier 4,10,3,5,0,0,0.4891,0.3346,0.4503,0.4146,0.2043,0.5565,0.2738,0.5209,0.52,0.28,48,50,49,-2,46,0.219
Tier 2,10,11,5,0,0,0.3257,0.3757,0.3379,0.2492,0.0859,0.2949,0.3208,0.3178,0.33,0.42,34,31,36,3,29,0.176
Tier 4,1,13,6,0,0,0.4978,0.4137,0.5102,0.3701,0.2766,0.5347,0.423,0.5038,0.52,0.28,53,61,49,-8,49,0.541
Tier 3,4,20,3,0,1,0.3764,0.5693,0.4891,0.2797,0.1677,0.466,0.496,0.4531,0.48,0.52,52,47,49,5,48,0.538
Tier 2,7,14,5,1,0,0.4544,0.4414,0.2407,0.2185,0.104,0.4951,0.5116,0.2275,0.3795,0.483,46,56,52,-10,46,0.282
Tier 1,12,4,5,0,0,0.3112,0.4803,0.3612,0.1965,0.0958,0.2582,0.4694,0.3862,0.28,0.48,34,33,32,1,33,0.144
Tier 3,8,23,0,1,0,0.6008,0.5106,0.4485,0.3002,0.1369,0.5762,0.5527,0.4545,0.552,0.598,66,72,71,-6,81,0.829
Tier 2,10,3,6,0,0,0.3656,0.3749,0.4416,0.3591,0.0925,0.3183,0.3819,0.4766,0.33,0.42,39,38,36,1,36,0.213
Tier 4,10,8,2,0,0,0.4956,0.3164,0.5899,0.3644,0.2183,0.5288,0.2822,0.5517,0.52,0.28,56,49,49,7,51,0.675
Tier 3,8,14,5,1,0,0.8103,0.4988,0.4855,0.2687,0.2464,0.8625,0.4277,0.5045,0.552,0.598,76,84,71,-8,88,0.875
Tier 1,1,23,0,0,0,0.2655,0.4627,0.3515,0.2425,0.0311,0.3391,0.5269,0.3165,0.28,0.48,32,40,32,-8,33,0.15
Tier 2,4,22,6,0,1,0.3789,0.5998,0.5363,0.182,0.1503,0.3887,0.5789,0.554,0.33,0.42,45,44,36,1,45,0.172
Tier 3,9,20,0,1,0,0.7342,0.3993,0.3761,0.2501,0.1972,0.7872,0.4016,0.3663,0.552,0.598,72,67,71,5,83,0.864
Tier 4,5,9,6,0,1,0.525,0.2722,0.6217,0.3599,0.2295,0.572,0.208,0.6187,0.52,0.28,56,51,49,5,64,0.635
Tier 4,2,11,1,0,0,0.4778,0.3331,0.4282,0.2459,0.1434,0.4764,0.3601,0.3092,0.52,0.28,44,43,49,1,37,0.223
Tier 4,5,13,2,0,1,0.5856,0.316,0.7359,0.268,0.1952,0.5486,0.3847,0.7615,0.52,0.28,55,64,49,-9,58,0.596
Tier 4,3,3,4,0,0,0.6027,0.258,0.5275,0.3558,0.2224,0.5766,0.2525,0.5203,0.52,0.28,51,50,49,1,62,0.495
Tier 3,11,5,0,0,0,0.4565,0.4705,0.4912,0.2477,0.1944,0.5006,0.3695,0.5109,0.48,0.52,47,46,49,1,42,0.271
Tier 3,3,15,0,0,0,0.5348,0.5541,0.5276,0.2353,0.1428,0.5649,0.5234,0.5854,0.48,0.52,52,59,49,-7,64,0.519
Tier 2,3,5,1,0,0,0.3341,0.4833,0.4371,0.2003,0.109,0.3248,0.5412,0.4259,0.33,0.42,38,39,36,-1,38,0.195
Tier 2,1,21,0,0,0,0.2698,0.3619,0.2601,0.1701,0.1876,0.3227,0.3893,0.2823,0.33,0.42,29,33,36,-4,27,0.199
Tier 4,1,7,4,0,0,0.5141,0.3606,0.5724,0.3941,0.0993,0.5513,0.3555,0.5547,0.52,0.28,56,51,49,5,62,0.581
Tier 2,5,20,2,0,1,0.2416,0.4492,0.5823,0.2314,0.2091,0.2381,0.447,0.5456,0.33,0.42,43,38,36,5,44,0.173
Tier 1,9,10,4,1,0,0.4893,0.474,0.3036,0.1555,0.1229,0.5221,0.4901,0.2987,0.322,0.552,47,50,46,-3,51,0.237
Tier 3,5,13,0,0,1,0.4778,0.5407,0.6019,0.3293,0.1154,0.4614,0.5652,0.5566,0.48,0.52,53,56,49,-3,45,0.521
Tier 2,7,17,2,1,0,0.5754,0.4077,0.4571,0.1477,0.1344,0.5914,0.3609,0.4984,0.3795,0.483,61,55,52,6,71,0.732
Tier 1,11,9,2,0,0,0.2446,0.3912,0.3367,0.3127,0.0768,0.3074,0.3611,0.3453,0.28,0.48,34,33,32,1,31,0.192
Tier 1,9,15,6,1,0,0.5935,0.498,0.289,0.1686,0.2512,0.5989,0.4743,0.2432,0.322,0.552,54,56,46,-2,66,0.568
Tier 1,4,7,5,0,1,0.2791,0.4098,0.478,0.2089,0.0679,0.3467,0.3763,0.4893,0.28,0.48,37,36,32,1,34,0.142
Tier 3,10,11,0,0,0,0.5614,0.5098,0.5122,0.3204,0.1423,0.5535,0.5632,0.4676,0.48,0.52,53,54,49,-1,55,0.564
Tier 4,4,4,2,0,1,0.6525,0.1653,0.6615,0.3786,0.222,0.6678,0.1366,0.6376,0.52,0.28,54,52,49,2,59,0.568
Tier 1,3,3,4,0,0,0.2518,0.4992,0.2108,0.1663,0.239,0.2084,0.5507,0.2129,0.28,0.48,31,30,32,1,29,0.199
Tier 4,11,11,4,0,0,0.4966,0.2751,0.5806,0.3705,0.1257,0.5006,0.3356,0.5791,0.52,0.28,48,48,49,0,45,0.185
Tier 1,9,13,6,1,0,0.3792,0.5385,0.2761,0.1256,0.0979,0.3535,0.5425,0.2679,0.322,0.552,44,45,46,-1,48,0.221
Tier 2,3,16,4,0,0,0.3251,0.5362,0.4239,0.2711,0.13,0.3339,0.519,0.455,0.33,0.42,41,41,36,0,39,0.204
Tier 2,7,11,1,1,0,0.7063,0.38,0.3395,0.2616,0.1043,0.6946,0.3365,0.3591,0.3795,0.483,58,57,52,1,71,0.604
Tier 4,11,2,2,0,0,0.4776,0.2698,0.4497,0.2451,0.2015,0.5053,0.3211,0.4278,0.52,0.28,43,46,49,-3,44,0.204
Tier 2,7,20,1,1,0,0.4221,0.4242,0.3192,0.1766,0.1219,0.4085,0.4299,0.3473,0.3795,0.483,51,46,52,5,54,0.548
